Nafn,ID,Starfsheiti,Sveitarfelag,Fornafn,Eftirnafn,Heimasimi,Vinnusimi,Farsimi,Notendanafn,Deild
agust Mar Gardarsson,7275,yfirmadur i eldhusi,Reykjavik,agust Mar,Gardarsson,+354 555-5340,+354 567-9176,+354 867-9366,aguGar,Fjarmaladeild
agust Gudmundsson,7528,kvikmyndaleikstjori,Reykjavik,agust,Gudmundsson,+354 555-4924,+354 567-9316,+354 867-2822,aguGud,Fjarmaladeild
agust Hjortur Ingtorsson,5867,forstodumadur Rannsoknatjonustu Haskola islands,Reykjavik,agust Hjortur,Ingtorsson,+354 555-8813,+354 567-9495,+354 867-4848,aguIng,Fjarmaladeild
agust Alfred Snaebjornsson,8617,forstjori,Kopavogi,agust Alfred,Snaebjornsson,+354 555-6278,+354 567-8054,+354 867-3154,aguSnae,Fjarmaladeild
agust Valfells,6164,verkfraedingur,Kopavogi,agust,Valfells,+354 555-5883,+354 567-9198,+354 867-7417,aguVal,Fjarmaladeild
agusta Sigrun agustsdottir,3623,mannaudsstjori,Kopavogi,agusta Sigrun,agustsdottir,+354 555-1443,+354 567-8857,+354 867-8813,aguagu,Fjarmaladeild
agusta Hjordis Lyons Flosadottir,2556,loggiltur skjalatydandi,Reykjavik,agusta Hjordis,Lyons Flosadottir,+354 555-5402,+354 567-8621,+354 867-7525,aguLyo,Fjarmaladeild
alfheidur Eymarsdottir,4668,verktaki,Reykjavik,alfheidur,Eymarsdottir,+354 555-9518,+354 567-8608,+354 867-7834,alfEym,Fjarmaladeild
amundi Hjalmar Loftsson,4316,verktaki,Kopavogi,amundi Hjalmar,Loftsson,+354 555-7057,+354 567-8188,+354 867-4854,amuLof,Fjarmaladeild
arelius orn tordarson,9926,flokksstjori,Hafnarfirdi,arelius orn,tordarson,+354 555-8520,+354 567-8113,+354 867-5136,aretor,Fjarmaladeild
armann Atli Sigurdsson,8254,leikskolakennari,Reykjavik,armann Atli,Sigurdsson,+354 555-4434,+354 567-8614,+354 867-6311,armSig,Fjarmaladeild
arni Bjornsson,6736,fv. forstodumadur tjodhattadeildar tjodminjasafns islands,Reykjavik,arni,Bjornsson,+354 555-7130,+354 567-8363,+354 867-4680,arnBjo,Fjarmaladeild
arni Bjorn Gudjonsson,2435,listmalari,Reykjavik,arni Bjorn,Gudjonsson,+354 555-4230,+354 567-8496,+354 867-7583,arnBGud,Fjarmaladeild
arni Indridason,5075,framhaldsskolakennari,Reykjavik,arni,Indridason,+354 555-5775,+354 567-8441,+354 867-3131,arnInd,Fjarmaladeild
arni Jonsson,8078,rafvirkjameistari,Rangartingi ytra,arni,Jonsson,+354 555-2040,+354 567-8512,+354 867-7851,arnJon,Fjarmaladeild
arni Kjartansson,7297,arkitekt,Reykjavik,arni,Kjartansson,+354 555-2468,+354 567-9133,+354 867-3817,arnKja,Fjarmaladeild
arni Vilhjalmsson,6571,logmadur,Gardabae,arni,Vilhjalmsson,+354 555-1738,+354 567-8848,+354 867-1640,arnVil,Fjarmaladeild
asdis Hlokk teodorsdottir,2787,skipulagsfraedingur  haskolakennari,Reykjavik,asdis Hlokk,teodorsdottir,+354 555-4867,+354 567-9261,+354 867-1279,asdte,Fjarmaladeild
asgeir Baldursson,5064,framkvaemdastjori,Reykjavik,asgeir,Baldursson,+354 555-6932,+354 567-8427,+354 867-4210,asgBal,Fjarmaladeild
asgeir Beinteinsson,2897,skolastjori,Reykjavik,asgeir,Beinteinsson,+354 555-7782,+354 567-9225,+354 867-4339,asgBei,Fjarmaladeild
asgeir Gudmundur Bjarnason,5504,framkvaemdastjori,Seltjarnarnesi,asgeir Gudmundur,Bjarnason,+354 555-2009,+354 567-8729,+354 867-5073,asgBja,Framleidsludeild
asgeir Erling Gunnarsson,2842,vidskiptafraedingur loggiltur skipa- og fasteignasali,Reykjavik,asgeir Erling,Gunnarsson,+354 555-4323,+354 567-8164,+354 867-5210,asgGun,Framleidsludeild
asgeir torbergsson,2919,nemi vid Menntaskolann Hradbraut,Reykjavik,asgeir,torbergsson,+354 555-5981,+354 567-8173,+354 867-1257,asgtor,Framleidsludeild
aslaug Gudmundsdottir,4349,starfsmadur a endurskodunarskrifstofu,Hafnarfirdi,aslaug,Gudmundsdottir,+354 555-9652,+354 567-9819,+354 867-6155,aslGud,Framleidsludeild
aslaug torlacius,8309,myndlistarmadur  kennari vid Melaskola,Reykjavik,aslaug,torlacius,+354 555-9395,+354 567-8919,+354 867-2936,aslto,Framleidsludeild
asta Kristbergsdottir,7495,arkitekt FAi  landslagsarkitekt MAA,Reykjavik,asta,Kristbergsdottir,+354 555-7791,+354 567-9878,+354 867-5408,astKri,Framleidsludeild
asta Leonhardsdottir,4613,vidskiptafraedingur,Kopavogi,asta,Leonhardsdottir,+354 555-9456,+354 567-8962,+354 867-2633,astLeo,Framleidsludeild
astros Gunnlaugsdottir,5779,nemi  stjornmalafraedingur,Gardabae,astros,Gunnlaugsdottir,+354 555-6487,+354 567-9112,+354 867-7392,astGun,Framleidsludeild
asttor Magnusson Wium,7176,atafnamadur,Reykjavik,asttor Magnusson,Wium,+354 555-6106,+354 567-8105,+354 867-8419,astWiu,Framleidsludeild
Baldur agustsson,5031,flugumferdarstjori,Reykjavik,Baldur,agustsson,+354 555-6536,+354 567-9001,+354 867-5853,Balagu,Framleidsludeild
Baldur oskarsson,5361,framhaldsskolakennari,Reykjavik,Baldur,oskarsson,+354 555-3920,+354 567-9747,+354 867-3768,Balosk,Framleidsludeild
Baldvin orn Berndsen,6175,sjalfstaett starfandi,Reykjavik,Baldvin orn,Berndsen,+354 555-5644,+354 567-9135,+354 867-4224,BalBer,Framleidsludeild
Baldvin Bjorgvinsson,5185,raffraedingur  kennari,Kopavogi,Baldvin,Bjorgvinsson,+354 555-7013,+354 567-9989,+354 867-7365,BalBjo,Framleidsludeild
Benedikt Hreinn Einarsson,6901,haskolanemi,Akureyri,Benedikt Hreinn,Einarsson,+354 555-8140,+354 567-8653,+354 867-8361,BenEin,Framleidsludeild
Benedikt torri Sigurjonsson,2248,haskolanemi,Nordurtingi,Benedikt torri,Sigurjonsson,+354 555-1384,+354 567-9972,+354 867-6391,BenSig,Framleidsludeild
Benedikt Gardar Stefansson,6098,flugvirki,Reykjavik,Benedikt Gardar,Stefansson,+354 555-1446,+354 567-9134,+354 867-8541,BenSte,Framleidsludeild
Berglind Nanna olinudottir,5526,leidsogumadur  oryggisvordur,Hafnarfirdi,Berglind Nanna,olinudottir,+354 555-4994,+354 567-8176,+354 867-8984,Beroli,Framleidsludeild
Bergljot Tulinius Gunnlaugsdottir,7869,safnstjori,Hafnarfirdi,Bergljot Tulinius,Gunnlaugsdottir,+354 555-8478,+354 567-9246,+354 867-4473,BerGun,Framleidsludeild
Bergny Jona Saevarsdottir,6417,verkefnastjori a Einkaleyfastofu islands,Reykjavik,Bergny Jona,Saevarsdottir,+354 555-1826,+354 567-8367,+354 867-3267,BerSaev,Framleidsludeild
Bergsveinn Gudmundur Gudmundsson,3579,heimavinnandi husfadir,Svf. Gardi,Bergsveinn Gudmundur,Gudmundsson,+354 555-9860,+354 567-9311,+354 867-4419,BerGud,Framleidsludeild
Bergsveinn Halldorsson,6725,tresmidur i ahaldahusi  tresmidameistari,Svf. arborg,Bergsveinn,Halldorsson,+354 555-7925,+354 567-9793,+354 867-5073,BerHal,Framleidsludeild
Bergvin Oddsson,6494,ritofundur  fyrirlesari,Akureyri,Bergvin,Oddsson,+354 555-9488,+354 567-8062,+354 867-7461,BerOdd,Framleidsludeild
Birgir Eiriksson,4602,skrudgardyrkjumeistari  gardyrkjumadur,Reykjavik,Birgir,Eiriksson,+354 555-6534,+354 567-8428,+354 867-2603,BirEir,Framleidsludeild
Birgir Karlsson,2776,fv. skolastjori,Reykjavik,Birgir,Karlsson,+354 555-3324,+354 567-8075,+354 867-2908,BirKar,Framleidsludeild
Birgir Loftsson,3557,sagnfraedingur,Hafnarfirdi,Birgir,Loftsson,+354 555-5292,+354 567-8461,+354 867-1406,BirLof,Framleidsludeild
Birna Kristbjorg Bjornsdottir,4184,vidskiptafraedingur,Grindavik,Birna Kristbjorg,Bjornsdottir,+354 555-1518,+354 567-9262,+354 867-7791,BirBjo,Framleidsludeild
Birna Gudrun Konradsdottir,4195,sjukranuddari  bladamadur  bondi,Borgarbyggd,Birna Gudrun,Konradsdottir,+354 555-2138,+354 567-8207,+354 867-3445,BirKon,Framleidsludeild
Birna Vilhjalmsdottir,8639,kennari,Reykjavik,Birna,Vilhjalmsdottir,+354 555-8027,+354 567-9667,+354 867-2803,BirVil,Framleidsludeild
Birna tordardottir,4921,ferdaskipuleggjandi  skald,Reykjavik,Birna,tordardottir,+354 555-3951,+354 567-8794,+354 867-5114,Birtor,Framleidsludeild
Bjorg olafsdottir,5537,honnudur,Kopavogi,Bjorg,olafsdottir,+354 555-3539,+354 567-8816,+354 867-9768,Bjoola,Framleidsludeild
Bjorgvin Runar Leifsson,4943,afangastjori,Nordurtingi,Bjorgvin Runar,Leifsson,+354 555-1955,+354 567-9799,+354 867-2276,BjoLei,Framleidsludeild
Bjorgvin Martin Hjelvik Snorrason,8815,kennari  skolastjori  prestur,Reykjavik,Bjorgvin Martin,Hjelvik Snorrason,+354 555-4664,+354 567-8593,+354 867-5137,BjoHje,Framleidsludeild
Bjorn Ragnar Bjornsson,9838,staerdfraedingur,Reykjavik,Bjorn Ragnar,Bjornsson,+354 555-9759,+354 567-9777,+354 867-6653,BjoBjo,Framleidsludeild
Bjorn Einarsson,6340,laeknir heimspekinemi,Gardabae,Bjorn,Einarsson,+354 555-5447,+354 567-8079,+354 867-2728,BjoEin,Framleidsludeild
Bjorn Saevar Einarsson,3513,vedurfraedingur,Reykjavik,Bjorn Saevar,Einarsson,+354 555-2016,+354 567-9873,+354 867-8909,BjoSEin,Framleidsludeild
Bjorn Fridfinnsson,2875,logfraedingur,Reykjavik,Bjorn,Fridfinnsson,+354 555-3396,+354 567-8529,+354 867-9835,BjoFri,Framleidsludeild
Bjorn Gudbrandur Jonsson,6758,umhverfisfraedingur framkvaemdastjori,Reykjavik,Bjorn Gudbrandur,Jonsson,+354 555-4828,+354 567-8499,+354 867-1161,BjoGJon,Framleidsludeild
Bjorn Ingi Jonsson,8705,framkvaemdastjori,Svf. Hornafirdi,Bjorn Ingi,Jonsson,+354 555-9399,+354 567-9266,+354 867-8320,BjoJon,Framleidsludeild
Bjorn M. Sigurjonsson,4580,svidsstjori,Reykjavik,Bjorn M.,Sigurjonsson,+354 555-8011,+354 567-8647,+354 867-2081,BjoSig,Framleidsludeild
Bjorn oskar Vernhardsson,8793,salfraedingur,Reykjavik,Bjorn oskar,Vernhardsson,+354 555-6412,+354 567-8587,+354 867-2696,BjoVer,Framleidsludeild
Bolli Hedinsson,4338,hagfraedingur,Reykjavik,Bolli,Hedinsson,+354 555-6311,+354 567-8510,+354 867-9080,BolHed,Framleidsludeild
Borghildur Solvey Sturludottir,8067,arkitekt,Hafnarfirdi,Borghildur Solvey,Sturludottir,+354 555-2666,+354 567-8508,+354 867-8258,BorStu,Framleidsludeild
Borgtor S. Kjaernested,3062,fv. framkvaemdastjori a eftirlaunum,Reykjavik,Borgtor S.,Kjaernested,+354 555-1830,+354 567-8033,+354 867-5859,BorKjae,Framleidsludeild
Bragi Straumfjord Josepsson,8342,fv. professor uppeldisfraedingur,Stykkisholmi,Bragi Straumfjord,Josepsson,+354 555-8722,+354 567-9353,+354 867-8028,BraJos,Framleidsludeild
Bragi Skaftason,6923,tryggingaradgjafi,Reykjavik,Bragi,Skaftason,+354 555-4425,+354 567-8042,+354 867-9608,BraSka,Framleidsludeild
Breki Karlsson,6813,velaverkfraedingur,Reykjavik,Breki,Karlsson,+354 555-7173,+354 567-9222,+354 867-3905,BreKar,Framleidsludeild
Bryan Allen Smit III,8936,atafnamadur,Reykjavik,Bryan Allen,Smit III,+354 555-4681,+354 567-9966,+354 867-4004,BrySmi,Framleidsludeild
Bryndis Bjarnarson,3843,verkefnisstyra Kvennafridagsins 2010,Mosfellsbae,Bryndis,Bjarnarson,+354 555-6892,+354 567-9469,+354 867-7102,BryBja,Framleidsludeild
Brynjar Gunnarsson,9519,ljosmyndari,Reykjavik,Brynjar,Gunnarsson,+354 555-4056,+354 567-8504,+354 867-4425,BryGun,Framleidsludeild
Brynjolfur Sveinn ivarsson,9035,nemi,Gardabae,Brynjolfur Sveinn,ivarsson,+354 555-9266,+354 567-9387,+354 867-4913,Bryiva,Framleidsludeild
Charlotta Oddsdottir,4459,dyralaeknir,Hafnarfirdi,Charlotta,Oddsdottir,+354 555-8393,+354 567-9864,+354 867-1252,ChaOdd,Framleidsludeild
Clarence Edvin Glad,3975,sjalfstaett starfandi fraedimadur kennari,Reykjavik,Clarence Edvin,Glad,+354 555-6399,+354 567-9176,+354 867-9897,ClaGla,Framleidsludeild
Dadi Mar Jonsson,7407,verkstjori,Reykjavik,Dadi Mar,Jonsson,+354 555-1459,+354 567-8253,+354 867-8325,DadJon,Framleidsludeild
Dagbjartur Ingvar Ariliusson,6285,bila- og velasali sveitarstjornarmadur,Borgarbyggd,Dagbjartur Ingvar,Ariliusson,+354 555-3422,+354 567-8296,+354 867-5321,DagAri,Framleidsludeild
David Blondal,9134,radgjafi felagi i InDefence hopnum,Reykjavik,David,Blondal,+354 555-7536,+354 567-9079,+354 867-3704,DavBlo,Framleidsludeild
Dogg Hardardottir,7572,deildarstjori,Akureyri,Dogg,Hardardottir,+354 555-7463,+354 567-9680,+354 867-4688,DogHar,Framleidsludeild
Edvald Einar Stefansson,5845,serfraedingur hja umbodsmanni barna,Reykjavik,Edvald Einar,Stefansson,+354 555-7927,+354 567-8797,+354 867-6541,EdvSte,Framleidsludeild
Eggert olafsson,4547,rekstrar- og gaedastjori,Reykjavik,Eggert,olafsson,+354 555-3882,+354 567-8589,+354 867-1193,Eggola,Framleidsludeild
Egill orn torarinsson,3821,nemi i stjornmalafraedi,Hafnarfirdi,Egill orn,torarinsson,+354 555-5456,+354 567-9686,+354 867-1842,Egitor,Framleidsludeild
Einar Brandsson,6307,taeknifraedingur,Akranesi,Einar,Brandsson,+354 555-4053,+354 567-8184,+354 867-1925,EinBra,Framleidsludeild
Einar Magnus Einarsson,3161,vaktmadur,Nordurtingi,Einar Magnus,Einarsson,+354 555-7214,+354 567-9301,+354 867-7673,EinEin,Framleidsludeild
Einar Gudmundsson,3645,gedlaeknir,Gardabae,Einar,Gudmundsson,+354 555-1582,+354 567-9348,+354 867-4238,EinGud,Framleidsludeild
Einar Stefan Kristinsson,9761,hopstjori gagnagrunnsserfraedingur,Kopavogi,Einar Stefan,Kristinsson,+354 555-4104,+354 567-9502,+354 867-3217,EinKri,Framleidsludeild
Eirikur Beck,6703,sjalfstaett starfandi,Kopavogi,Eirikur,Beck,+354 555-7167,+354 567-9741,+354 867-4294,EirBec,Framleidsludeild
Eirikur Bergmann Einarsson,2193,dosent i stjornmalafraedi,Reykjavik,Eirikur Bergmann,Einarsson,+354 555-4954,+354 567-8033,+354 867-8146,EirEin,Framleidsludeild
Eirikur G. Gudmundsson,4415,svidsstjori i tjodskjalasafni islands,Reykjavik,Eirikur G.,Gudmundsson,+354 555-9296,+354 567-9919,+354 867-4874,EirGud,Framleidsludeild
Eirikur tor Magnusson,3348,malarameistari,Svf. Skagafirdi,Eirikur tor,Magnusson,+354 555-2946,+354 567-9586,+354 867-7339,EirMag,Framleidsludeild
Eirikur Hans Sigurdsson,5438,okukennari,Reykjavik,Eirikur Hans,Sigurdsson,+354 555-4310,+354 567-9033,+354 867-2370,EirSig,Framleidsludeild
Eirikur Mork Valsson,2974,framkvaemdastjori,Kopavogi,Eirikur Mork,Valsson,+354 555-4338,+354 567-8319,+354 867-2382,EirVal,Framleidsludeild
Elinborg Skuladottir,3271,rekstrarstjori,Akranesi,Elinborg,Skuladottir,+354 555-3280,+354 567-8687,+354 867-4931,EliSku,Framleidsludeild
Elias Halldor agustsson,9904,kerfisfraedingur,Reykjavik,Elias Halldor,agustsson,+354 555-6111,+354 567-9538,+354 867-3092,Eliagu,Framleidsludeild
Elias Gislason,5383,vidskiptafraedingur,Reykjavik,Elias,Gislason,+354 555-6496,+354 567-9659,+354 867-2845,EliGis,Framleidsludeild
Elias Blondal Gudjonsson,7759,logfraedingur,Gardabae,Elias Blondal,Gudjonsson,+354 555-4142,+354 567-9753,+354 867-3507,EliBGud,Framleidsludeild
Elias Oddsson,7286,nemi sjalfstaett starfandi i ferdatjonustu o.fl.,Reykjavik,Elias,Oddsson,+354 555-2959,+354 567-8785,+354 867-5061,EliOdd,Framleidsludeild
Elias Petursson,7726,framkvaemdastjori,Mosfellsbae,Elias,Petursson,+354 555-4440,+354 567-8803,+354 867-9777,EliPet,Framleidsludeild
Elias teodorsson,4393,framkvaemdastjori,Svf. olfusi,Elias,teodorsson,+354 555-3476,+354 567-8304,+354 867-8297,Elite,Framleidsludeild
Elin Gudmundsdottir,2105,natturufraedingur verslunareigandi,Svf. arborg,Elin,Gudmundsdottir,+354 555-3971,+354 567-8482,+354 867-8996,EliGud,Framleidsludeild
Elin Hilmarsdottir,9849,verkefnastjori,Reykjavik,Elin,Hilmarsdottir,+354 555-9418,+354 567-8740,+354 867-9015,EliHil,Framleidsludeild
Elin olafsdottir,4569,framkvaemdastjori,Gardabae,Elin,olafsdottir,+354 555-6666,+354 567-9603,+354 867-1707,Eliola,Framleidsludeild
Elin Erna Steinarsdottir,6681,leikskolastjori,Reykjavik,Elin Erna,Steinarsdottir,+354 555-1980,+354 567-9135,+354 867-5486,EliSte,Framleidsludeild
Erla Hlin Hjalmarsdottir,5262,doktorsnemi vid Hi,Reykjavik,Erla Hlin,Hjalmarsdottir,+354 555-5410,+354 567-8063,+354 867-8461,ErlHja,Framleidsludeild
Erlingur Sigurdarson,9431,fv. forstodumadur Huss skaldsins og kennari vid MA,Akureyri,Erlingur,Sigurdarson,+354 555-1422,+354 567-8727,+354 867-2666,ErlSig,Framleidsludeild
Eva Huld Fridriksdottir,9046,arkitekt kennari,Reykjavik,Eva Huld,Fridriksdottir,+354 555-2307,+354 567-8248,+354 867-7932,EvaFri,Framleidsludeild
Eva Sigurbjornsdottir,2754,hotelstyra,arneshreppi,Eva,Sigurbjornsdottir,+354 555-7204,+354 567-8018,+354 867-8007,EvaSig,Framleidsludeild
Eva Alice Lucienne Leplat Sigurdsson,3381,kennari,Reykjavik,Eva Alice,Lucienne Leplat Sigurdsson,+354 555-6659,+354 567-9355,+354 867-1711,EvaLuc,Framleidsludeild
Eyglo Svala Arnarsdottir,3854,ritstjori,Reykjavik,Eyglo Svala,Arnarsdottir,+354 555-8352,+354 567-9957,+354 867-1745,EygArn,Framleidsludeild
Eyjolfur armannsson,8914,logfraedingur adstodarsaksoknari i efnahagsbrotadeild RLS,Reykjavik,Eyjolfur,armannsson,+354 555-3869,+354 567-8780,+354 867-9121,Eyjarm,Framleidsludeild
Eytor Jovinsson,3029,nemi i arkitektur sjomadur,isafjardarbae,Eytor,Jovinsson,+354 555-5822,+354 567-9168,+354 867-1659,EytJov,Framleidsludeild
Finnbjorn Gislason,6087,gjaldkeri a sysluskrifstofu heimavinnandi husfadir,Dalabyggd,Finnbjorn,Gislason,+354 555-1566,+354 567-8953,+354 867-9496,FinGis,Framleidsludeild
Finnbogi Vikar,6032,nemi,Hveragerdi,Finnbogi,Vikar,+354 555-8087,+354 567-8337,+354 867-4616,FinVik,Framleidsludeild
Freyja Haraldsdottir,2303,framkvaemdarstjori nemi,Gardabae,Freyja,Haraldsdottir,+354 555-3570,+354 567-8458,+354 867-2537,FreHar,Framleidsludeild
Fridrik Hansen Gudmundsson,9156,framkvaemdastjori verkfraedingur,Reykjavik,Fridrik Hansen,Gudmundsson,+354 555-5543,+354 567-9141,+354 867-8213,FriHGud,Framleidsludeild
Fridrik tor Gudmundsson,7814,bladamadur stjornmalafraedingur,Reykjavik,Fridrik tor,Gudmundsson,+354 555-1806,+354 567-8733,+354 867-1695,FriGud,Framleidsludeild
Fridrik olafsson,8375,radgjafi verkfraedingur,Reykjavik,Fridrik,olafsson,+354 555-4107,+354 567-8099,+354 867-1069,Friola,Framleidsludeild
Fridrik Sigurdsson,9706,frumkvodull,Reykjavik,Fridrik,Sigurdsson,+354 555-3740,+354 567-9444,+354 867-5930,FriSig,Framleidsludeild
Frosti Sigurjonsson,5614,rekstrarhagfraedingur,Reykjavik,Frosti,Sigurjonsson,+354 555-6399,+354 567-8930,+354 867-5285,FroSig,Framleidsludeild
Gardar Ingvarsson,4063,hagfraedingur radgjafi,Reykjavik,Gardar,Ingvarsson,+354 555-8207,+354 567-8524,+354 867-6491,GarIng,Framleidsludeild
Geir Matti Järvelä,6912,heimspekinemi,Reykjavik,Geir Matti,Järvelä,+354 555-7707,+354 567-9576,+354 867-8016,GeiJär,Framleidsludeild
Gerda Bjorg Hafsteinsdottir,2215,atvinnufulltrui,Reykjavik,Gerda Bjorg,Hafsteinsdottir,+354 555-2416,+354 567-9720,+354 867-5560,GerHaf,Framleidsludeild
Gissur Petursson,3634,forstjori Vinnumalastofnunar,Reykjavik,Gissur,Petursson,+354 555-3618,+354 567-8944,+354 867-5558,GisPet,Framleidsludeild
Gisli Kristbjorn Bjornsson,6978,logfraedingur,Reykjavik,Gisli Kristbjorn,Bjornsson,+354 555-9911,+354 567-9771,+354 867-6620,GisBjo,Framleidsludeild
Gisli Jokull Gislason,8958,logreglumadur,Reykjavik,Gisli Jokull,Gislason,+354 555-1855,+354 567-9218,+354 867-6990,GisGis,Framleidsludeild
Gisli Mar Gislason,4327,professor i vatnaliffraedi i Hi,Reykjavik,Gisli Mar,Gislason,+354 555-9217,+354 567-8798,+354 867-7310,GisMGis,Framleidsludeild
Gisli Hjartarson,3612,framkvaemdastjori,Vestmannaeyjum,Gisli,Hjartarson,+354 555-4934,+354 567-9632,+354 867-2229,GisHja,Framleidsludeild
Gisli Kristjansson,7583,framkvaemdastjori,Reykjavik,Gisli,Kristjansson,+354 555-7400,+354 567-9953,+354 867-1157,GisKri,Framleidsludeild
Gisli tor Sigurtorsson,6142,framhaldsskolakennari,Reykjavik,Gisli tor,Sigurtorsson,+354 555-2671,+354 567-8929,+354 867-5117,GisSig,Framleidsludeild
Gisli Tryggvason,3249,talsmadur neytenda,Kopavogi,Gisli,Tryggvason,+354 555-4145,+354 567-8835,+354 867-9811,GisTry,Framleidsludeild
Gislny Bara tordardottir,9453,troskatjalfi,Gardabae,Gislny Bara,tordardottir,+354 555-9248,+354 567-8022,+354 867-2994,Gistor,Framleidsludeild
Greta osk oskarsdottir,3018,bokmenntafraedingur,Reykjavik,Greta osk,oskarsdottir,+354 555-9201,+354 567-8845,+354 867-9921,Greosk,Framleidsludeild
Gretar Bjarnason,3832,husasmidameistari,Hafnarfirdi,Gretar,Bjarnason,+354 555-2758,+354 567-8862,+354 867-5846,GreBja,Framleidsludeild
Grimur Sigurdarson,7946,logmadur,Gardabae,Grimur,Sigurdarson,+354 555-2082,+354 567-8129,+354 867-3792,GriSig,Framleidsludeild
Groa Fridgeirsdottir,6043,hjukrunarfraedingur framhaldsskolakennari,Reykjavik,Groa,Fridgeirsdottir,+354 555-6757,+354 567-8905,+354 867-1184,GroFri,Framleidsludeild
Gudbrandur olafsson,6857,saudfjarbondi,Dalabyggd,Gudbrandur,olafsson,+354 555-2252,+354 567-8375,+354 867-9572,Gudola,Framleidsludeild
Gudfinna Halla torvaldsdottir,4701,salfraedingur framkvaemdastjori Salfraedingafelags islands,Reykjavik,Gudfinna Halla,torvaldsdottir,+354 555-3719,+354 567-8117,+354 867-6053,Gudtor,Framleidsludeild
Gudjon olafur Sigurbjartsson,7473,atvinnurekandi,Reykjavik,Gudjon olafur,Sigurbjartsson,+354 555-3400,+354 567-9134,+354 867-7094,GudoSig,Framleidsludeild
